"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-04 ~ 2026-04-03"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"93","서울특별시 강남구 대치동","63","0063","0000","대치우성아파트1동,2동,3동,5동,6동,7동","84.6900","202602","25","355,000","-","5","개인","개인","1984","영동대로 230","-","중개거래","서울 강남구","-"
"94","서울특별시 강남구 개포동","1281","1281","0000","디에이치아너힐즈","106.9845","202602","25","500,000","318","17","개인","개인","2019","삼성로 11","-","중개거래","서울 강남구","26.03.26"
"95","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","51.9600","202602","25","120,000","-","2","개인","개인","2015","자곡로3길 21","-","중개거래","서울 강남구","-"
"96","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","101.9400","202602","25","215,000","-","2","개인","개인","2014","자곡로 101","-","중개거래","서울 강남구","-"
"97","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","94.9100","202602","25","236,000","-","1","개인","개인","2014","자곡로 101","-","중개거래","서울 강남구","-"
"98","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","59.9300","202602","25","149,500","-","2","개인","개인","2015","자곡로3길 21","-","중개거래","서울 강남구","-"
"99","서울특별시 강남구 청담동","105-6","0105","0006","목화","133.9700","202602","25","300,000","-","4","개인","개인","1995","도산대로85길 53","-","직거래","-","-"
"100","서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.7960","202602","24","30,000","-","8","개인","개인","2003","삼성로85길 42","-","중개거래","서울 강남구","26.03.03"
"101","서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.7960","202602","24","30,000","-","8","개인","개인","2003","삼성로85길 42","20260226","중개거래","서울 강남구","-"
"102","서울특별시 강남구 수서동","799","0799","0000","강남 더샵 포레스트","146.7139","202602","24","390,000","-","10","개인","개인","2016","광평로34길 35","-","중개거래","서울 강남구","-"
"103","서울특별시 강남구 삼성동","87","0087","0000","아이파크","156.8570","202602","24","780,000","-","42","개인","개인","2004","영동대로 640","-","중개거래","서울 강남구","-"
"104","서울특별시 강남구 역삼동","710","0710","0000","현대까르띠에710","149.7000","202602","23","390,000","-","21","개인","개인","2001","언주로86길 12","-","중개거래","서울 강남구","-"
"105","서울특별시 강남구 개포동","179","0179","0000","우성8","79.6100","202602","23","272,000","-","5","개인","개인","1987","개포로 411","-","중개거래","서울 강남구","-"
"106","서울특별시 강남구 도곡동","964","0964","0000","현대그린1","84.9300","202602","23","245,000","-","2","개인","개인","2006","논현로51길 25","-","중개거래","서울 강남구","-"
"107","서울특별시 강남구 수서동","746","0746","0000","까치마을","39.6000","202602","23","168,000","1002","7","개인","개인","1993","광평로19길 10","-","중개거래","서울 강남구","26.03.23"
"108","서울특별시 강남구 개포동","651-1","0651","0001","개포더샵트리에","108.2017","202602","23","305,000","-","3","개인","개인","2021","개포로 311","-","중개거래","서울 강남구","-"
"109","서울특별시 강남구 역삼동","757","0757","0000","역삼래미안","80.8700","202602","23","331,500","-","17","개인","개인","2005","선릉로69길 19","-","중개거래","서울 강남구","-"
"110","서울특별시 강남구 논현동","274","0274","0000","경남논현","84.8900","202602","23","184,500","-","3","개인","개인","1996","언주로116길 12","-","중개거래","서울 서초구","-"
"111","서울특별시 강남구 역삼동","824-25","0824","0025","대우디오빌플러스","34.4100","202602","22","30,900","-","13","개인","개인","2004","강남대로84길 33","-","중개거래","서울 강남구","-"
"112","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","74.8900","202602","21","215,000","-","13","개인","개인","2014","자곡로 175","-","중개거래","서울 강남구","-"
"113","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","59.9300","202602","21","151,000","-","6","개인","개인","2015","자곡로3길 21","-","중개거래","서울 강남구","-"
"114","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","84.9200","202602","21","232,000","-","7","개인","개인","2014","자곡로 175","-","중개거래","서울 강남구","-"
"115","서울특별시 강남구 수서동","736","0736","0000","신동아","33.1800","202602","21","151,500","-","7","개인","개인","1992","광평로47길 17","-","중개거래","서울 강남구","-"
"116","서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","151.3100","202602","21","655,000","-","24","개인","개인","2015","삼성로51길 35","-","중개거래","서울 강남구","-"
"117","서울특별시 강남구 역삼동","713-11","0713","0011","역삼I'PARK","28.2460","202602","21","86,500","201","2","개인","개인","2006","역삼로 307","-","중개거래","서울 강남구","26.03.27"
"118","서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","71.9900","202602","21","391,000","-","20","개인","개인","2021","삼성로 651","-","중개거래","서울 강남구","-"
